ego_s,"s_ahead， vs, v_ahead",s_ahead,vs,v_ahead
2041.0969610431255,,2072.1933664430185,11.146975527467756,7.010195533275057
2042.2430504153804,,2072.907516201866,11.16082330686262,7.326357688812034
2043.3919087558668,,2073.6433670268275,11.181155759769132,7.449994886505943
2044.5432247182305,,2074.3779789533796,11.193051790654708,7.358848150535566
2045.6957781112603,,2075.09943278056,11.198295882532813,7.227349200808003
2046.84969848708,,2075.815988750264,11.210746743858401,7.265426683868189
2048.005738583047,,2076.549279435122,11.225900833423744,7.5177621619421044
2049.1635625995877,,2077.300454801177,11.234181346297646,7.5699001365058916
2050.322550737271,,2078.0502966161307,11.240795012948206,7.556645421726887
2051.482370400577,,2078.798848388629,11.246649823643809,7.54374244667559
2052.643018438342,,2079.546216626663,11.246373380197403,7.530635718688835
2053.803706065011,,2080.2923398253165,11.240903422943218,7.517542893420479
2054.9637618198194,,2081.048637023154,11.232908683668207,7.783326925682743
2056.1232422002304,,2081.843175533306,11.224323159900072,8.183233931678078
2057.2821971336534,,2082.6763737729216,11.218608451924593,8.541713454928834
2058.4410894366447,,2083.536466040549,11.215361972501045,8.732350177892044
2059.599700191107,,2084.403691737781,11.21070594731746,8.723895282482616
2060.7577858141503,,2085.264617921884,11.202253030491919,8.643634120061767
2061.914779708666,,2086.1204381842945,11.189779965685915,8.626457805961968
2063.070459784642,,2086.98150535628,11.174468435891777,8.732466932262879
2064.224608107191,,2087.8583435711917,11.158384274984028,8.915163190099511
2065.377197111183,,2088.75378783967,11.14285294153713,9.095578046439371
2066.528218077926,,2089.6643651227796,11.12752413918806,9.220277695839936
2067.6776753537533,,2090.5839312727326,11.111426514149569,9.288780088296212
2068.8254188183455,,2091.508914083007,11.09397787478763,9.338354373344355
2069.9713299237233,,2092.439535420722,11.075185818500964,9.404179094334571
2071.115258534044,,2093.378314694302,11.055521448138938,9.498074915353047
2072.2571076067056,,2094.3276406120262,11.035592961802475,9.610428941232168
2073.3969166570114,,2095.2883602422576,11.015760906999912,9.724546470988237
2074.5346159414744,,2096.259906658423,10.996077909818261,9.828236015368615
2075.670352302827,,2097.240927215202,10.976478059722433,9.92025247595138
2076.8040937032983,,2098.2307284920835,10.95689461817737,10.006959863821583
2077.935769299171,,2099.2293002305823,10.937379280574332,10.0948198253067
2079.065326283635,,2100.23681441786,10.918111686268668,10.187837448389573
2080.192972167955,,2101.25359469249,10.899288101077309,10.28494720172148
2081.3187234322368,,2102.2801247783377,10.88077091564273,10.383491363269023
2082.442516909523,,2103.3163273386526,10.861755075362435,10.481306553055449
2083.564187030896,,2104.3620228346263,10.841997246718208,10.576755111119017
2084.683873099894,,2105.4167210476203,10.822422658570265,10.649187293450533
2085.801614428297,,2106.4724195540307,10.803432173002847,10.628643656691294
2086.9172866513168,,2107.52592043208,10.784348090416286,10.60783426445807
2088.0309672303038,,2108.5774135152,10.76495981505782,10.587445318196767
2089.142653958975,,2109.626766681485,10.745748872130832,10.567178229500598
2090.2524220980154,,2110.6743979082244,10.726659459059373,10.563586924977466
2091.360150572613,,2111.7306872419595,10.707463090838626,10.704988585981157
2092.4659010691093,,2112.798250267512,10.688835642844445,10.793747422107849
2093.569845479455,,2113.873418077013,10.671078292313684,10.805442273633881
2094.671909914258,,2114.9519126834007,10.653305240887637,10.770442938036451
2095.772104287388,,2116.0268170884806,10.635230153290792,10.725545584242251
2096.870451516883,,2117.0974122430653,10.617283703632358,10.693406670436964
2097.9669254386113,,2118.1658697363473,10.599459356224132,10.680384493017538
2099.0615910765405,,2119.2340143565407,10.58161841827748,10.681984510976525
2100.1544342333,,2120.3027340427793,10.563936529677608,10.69013603339346
2101.245375329302,,2121.372199338576,10.546513579781381,10.69827849800763
