u,du,q,Cur_acc
1.8675004595728668,-0.022002043310428654,0.1,1.052288847431257
1.8416130968792326,-0.02588736269363423,0.1,1.357019761230997
1.8006787567680418,-0.04093434011119079,0.1,1.626779839579508
1.7424496111126357,-0.058229145655406045,0.1,1.2137001196381096
1.6824496111126357,-0.06000000000000005,0.1,1.0551591879461264
1.6224496111126356,-0.06000000000000005,0.1,1.347063330328579
1.5624496111126356,-0.06000000000000005,0.1,1.2496059105102335
1.5072615985011628,-0.05518801261147277,0.1,0.9704809290805658
1.5016566271751224,-0.005604971326040431,0.1,1.0459079741529176
1.5284245051010412,0.026767877925918837,0.1,1.1433842659993785
1.5620747044180017,0.03365019931696045,0.1,1.0475578341460383
1.5804420990943187,0.018367394676316984,0.1,1.0538901874073485
1.574530506111316,-0.0059115929830027,0.1,1.1407804450267323
1.5340047507794077,-0.040525755331908275,0.1,1.0935349387320337
1.4752350526009763,-0.05876969817843136,0.1,1.0079990275038233
1.4410422004647494,-0.034192852136226914,0.1,0.9891446270257398
1.4314780633063986,-0.009564137158350805,0.1,0.9710244238055025
1.4354024213337087,0.00392435802731006,0.1,0.9472012914991833
1.426449179807943,-0.008953241525765598,0.1,0.9542395268302035
1.391794940413677,-0.03465423939426615,0.1,0.9509016682555077
1.3395510023684176,-0.052243938045259286,0.1,0.902645169302936
1.2996386908729929,-0.039912311495424735,0.1,0.8482467732743826
1.2661056265987978,-0.03353306427419511,0.1,0.8214766637162779
1.223259223409381,-0.04284640318941668,0.1,0.8012205421433483
1.1734943228960122,-0.049764900513368904,0.1,0.7579424835198227
1.1179520920345947,-0.05554223086141752,0.1,0.708074159358108
1.0590160304820957,-0.058936061552498975,0.1,0.6676663146960932
1.0160759453728239,-0.04294008510927183,0.1,0.620439604832768
1.0099283615720736,-0.006147583800750311,0.1,0.5783533226856833
1.0332902257215448,0.02336186414947128,0.1,0.5794784861523645
1.0710057877656438,0.03771556204409898,0.1,0.6104451416606441
1.1003348341993244,0.029329046433680617,0.1,0.633505119359046
1.1050716213456162,0.0047367871462917766,0.1,0.6454734350720326
1.0886912795890122,-0.016380341756603967,0.1,0.6438429806241299
1.0655893552129947,-0.023101924376017546,0.1,0.6210026196967083
1.0503623630686323,-0.015226992144362406,0.1,0.5952053973077134
1.046203459553532,-0.004158903515100398,0.1,0.5860498220468737
1.0486865950329904,0.0024831354794585536,0.1,0.5864503518952289
1.0500303917186449,0.0013437966856544303,0.1,0.5852490156641077
1.04587696765787,-0.004153424060774791,0.1,0.5824643393789122
1.0375247058766999,-0.008352261781170212,0.1,0.5761030638433763
1.0278578564080043,-0.00966684946869556,0.1,0.5644010793875317
1.0201914616521524,-0.007666394755851957,0.1,0.5529282018005177
1.0152900864996661,-0.0049013751524862315,0.1,0.5454900233229816
1.0097978812858008,-0.005492205213865287,0.1,0.5401690180493187
0.9951833428666571,-0.01461453841914373,0.1,0.5332724300474342
0.9680321561752726,-0.0271511866913845,0.1,0.5184999804171999
0.9310688885110907,-0.0369632676641819,0.1,0.49134904469402646
0.8901993537079773,-0.040869534803113394,0.1,0.4573404589847339
0.8498188004855,-0.040380553222477356,0.1,0.4238467376646332
0.8116950909385634,-0.03812370954693656,0.1,0.3918695157388941
0.7750346180958951,-0.03666047284266827,0.1,0.36089399424636975
0.7382334715806342,-0.036801146515260896,0.1,0.3313681026132589
0.7003853886243349,-0.03784808295629938,0.1,0.30174642700124765
0.6617454276194499,-0.03863996100488498,0.1,0.27023650931576637
0.6232430519807136,-0.038502375638736264,0.1,0.23825946412095367
0.5857471149014145,-0.0374959370792991,0.1,0.2075221912167876
0.5496441479017878,-0.03610296699962667,0.1,0.17775758096625877
0.514844363778753,-0.03479978412303486,0.1,0.14909910847094332
0.4810528637988737,-0.03379149997987929,0.1,0.12182333201629589
0.44805336237781,-0.03299950142106367,0.1,0.09542604352096049
