ego_s,s_ahead
2172.83622956061,2193.127788346999
2173.907780161853,2194.1987632997993
2174.979512663148,2195.269743223644
2176.051305896774,2196.340391074415
2177.123166202517,2197.410432409033
2178.194652364052,2198.4803558811805
2179.265432005513,2199.55028356328
2180.336157772323,2200.620245964008
2181.4070014232975,2201.690334709192
2182.478128859369,2202.7606108942364
2183.5490548287994,2203.830616839441
2184.6197523561104,2204.9004441065235
2185.6902155568514,2205.9700317391025
2186.760450245803,2207.0395934221306
2187.830645016498,2208.1092208041846
2188.900729908348,2209.1788224560046
2189.9707043305525,2210.2486425978814
2191.0406408931076,2211.3184677665276
2192.1105762935294,2212.3881150017446
2193.1802504396055,2213.4574318225727
2194.250293854575,2214.526631957062
2195.320307533151,2215.5958681716656
2196.3902333155525,2216.665140677023
2197.4593696280413,2217.7344801658487
2198.5281127787193,2218.8039478391192
2199.5968902198506,2219.873238786502
2200.6656412087073,2220.94238363291
2201.7342438453566,2222.0112910328057
2202.803125610547,2223.080144250892
2203.872012024085,2224.1490655816647
2204.940414923804,2225.217963716432
2206.0084566309274,2226.2870524027217
2207.0764730827227,2227.355996284898
2208.144403370345,2228.4249480137037
2209.2120951303996,2229.4935721986803
2210.2800368768276,2230.561990932691
2211.348015193058,2231.630357007645
2212.4159386783394,2232.698762198807
2213.4833191480234,2233.7673287564276
2214.5506146529874,2234.8359653769917
2215.6179169251427,2235.9045806718573
2216.685073488797,2236.9730832211317
2217.7522371397913,2238.0411070393034
2218.8196522455746,2239.1091402375973
2219.887074839934,2240.1772137332364
2220.9542608464353,2241.245266681903
2222.020996754351,2242.313573785815
2223.087740472209,2243.38183026571
2224.1545228185996,2244.449914069895
2225.221130476541,2245.5177642546696
2226.287960093278,2246.585472446478
2227.354859191441,2247.6531913881217
2228.4217670351386,2248.720951828352
2229.488225831046,2249.788753958581
2230.55444946118,2250.8566894278547
2231.620682250157,2251.9244839211447
2232.686954784206,2252.9921983897443
2233.7532367314293,2254.059588992228
2234.8198030438084,2255.126808203511
2235.8863791636445,2256.1940393289337
2236.952751411322,2257.261282676612
2238.0186758285868,2258.328812930511
2239.084610514072,2259.3962949684437
2240.1505554768173,2260.4637896555823
2241.2164803907854,2261.5309006776224
2242.2825380367362,2262.5977803188052
2243.3486371291815,2263.6647339018355
2244.4149303922136,2264.731700895171
2245.4806851160492,2265.7987423993186
2246.546298583716,2266.865919634585
2247.6118930333096,2267.9329278505716
2248.6775599722637,2268.9998888666705
2249.743085978767,2270.0665284888305
2250.8088682236025,2271.132999040781
2251.874784752441,2272.1994533622374
2252.9405607318586,2273.2661357769725
2254.0058606148336,2274.33286378161
2255.0711426186817,2275.39960682123
2256.136498294493,2276.46633450815
2257.2016835878076,2277.532711479911
2258.2670345322085,2278.5988594629216
2259.3324904008605,2279.665037960357
2260.3979596588624,2280.73123225296
2261.4631063120873,2281.7975187418147
2262.5279309296884,2282.8639281675123
2263.592891605323,2283.9301862987763
2264.657866013919,2284.996430117977
2265.722732412609,2286.062294056062
2266.7878574564743,2287.1279911337047
2267.853058187946,2288.1937048178984
2268.918181800668,2289.2594660298705
2269.9827399163205,2290.325427436001
2271.0472826175564,2291.391421773985
2272.111840354859,2292.4574184199787
2273.176382669429,2293.523112593724
2274.2409708441814,2294.5885191641323
2275.3056663654347,2295.653973658807
2276.370560980569,2296.7194311116327
2277.4350436164104,2297.7849678026723
2278.4991149260845,2298.850599298316
2279.5633705456453,2299.916173337371
2280.6276116570543,2300.9816898055287
2281.6917470924845,2302.046767782872
2282.756097769384,2303.111741955791
2283.8205571352655,2304.176750368477
2284.8849570494503,2305.24180871611
2285.948854648137,2306.306993394981
2287.0126476114046,2307.3722590014227
2288.0764885929993,2308.4373769833905
2289.1403163618415,2309.5023469713087
2290.204100716058,2310.5670776705947
2291.268071321878,2311.631645213943
2292.3321976372968,2312.696217628492
2293.3960362697044,2313.7609326069773
2294.4593894316768,2314.8257447318306
2295.522883662365,2315.8906084880464
2296.58642677765,2316.955478911242
2297.6498512180397,2318.0200307725036
2298.7134779442645,2319.084525021485
2299.7772311939507,2320.15002351462
2300.841187780885,2321.2232809962948
2301.905655675629,2322.3133065691895
2302.973159139508,2323.4259602893026
2304.046677108577,2324.546842338561
2305.1269652953433,2325.6608434710643
2306.210764470163,2326.7679232155333
2307.2965717359093,2327.868218569092
2308.385580591778,2328.9615927821374
2309.4762546969764,2330.059961874298
2310.5663396688437,2331.1794799220675
2311.660696357804,2332.3211807082175
2312.7647389708636,2333.4856308473713
2313.8771583419907,2334.673136619823
2314.9978736647486,2335.8838055187452
2316.1312719176294,2337.1176987732474
2317.279040357861,2338.37493846097
2318.4377882919007,2339.6554944662007
2319.6073432292364,2340.959366690219
2320.7902715687746,2342.2866769809575
2321.9859689457658,2343.6372733115945
2323.192971086135,2345.0113229166923
2324.4119252073797,2346.408643365045
2325.643668111036,2347.829173221612
2326.887326158045,2349.2632664483704
2328.142551025417,2350.690569248089
2329.4098173006073,2352.1103108570865
2330.689168556687,2353.5224892105375
2331.980146491754,2354.927119538029
2333.282721982772,2356.330160074915
2334.597215472295,2357.748769934041
2335.9233970404007,2359.1851894388906
2337.2610837396796,2360.640049336976
2338.610382834348,2362.1136713607284
2339.971248204236,2363.606208765837
2341.343572754008,2365.117738099573
2342.727326165892,2366.648290076733
2344.1225084898956,2368.197880032163
2345.529058413723,2369.766523223752
2346.9469301328154,2371.3541892282788
2348.3760626387493,2372.960375091879
2349.816471180474,2374.5821689359927
2351.2680487320695,2376.2147324329803
2352.730810612256,2377.853313507302
2354.2046499448115,2379.4941659231863
2355.6895819012952,2381.134948214506
2357.1855759442733,2382.7745417195365
2358.692586326944,2384.4126082042008
2360.2105517985874,2386.049314358959
2361.73945713002,2387.684965418866
2363.279241241027,2389.319927926728
2364.8298888361032,2390.954492393416
2366.3913693430713,2392.5889033779936
2367.9636216678123,2394.223344429317
2369.5466304906636,2395.857755127064
2371.1403194933423,2397.492272435533
2372.7447039710964,2399.126866165655
2374.359722598896,2400.7614754566753
2375.9853602628145,2402.395779650704
2377.6213864507563,2404.0297485350225
2379.265944066872,2405.664828591079
2380.9137117397368,2407.3016487156383
2382.5621670171668,2408.938758742396
2384.213685410815,2410.5759078542096
2385.868436630671,2412.2132724690823
2387.522138721344,2413.8501897952847
2389.1743189697913,2415.485639667023
2390.8289373749953,2417.1209267554186
2392.485441214727,2418.757343111553
2394.1391088945634,2420.3934301350127
2395.7911083525987,2422.0310547145805
2397.4469363878043,2423.6721359904946
2399.104430864922,2425.3148926608874
2400.7566857254515,2426.959425192293
2402.4056575497193,2428.602796400923
2404.0577114484618,2430.2462069254734
2405.712693781191,2431.8896180772604
2407.3636715494913,2433.5328910009857
2409.0114539781375,2435.176046317705
2410.6632459050466,2436.819065081278
2412.318461795474,2438.461995186506
2413.969633138431,2440.104905816028
2415.6168404141245,2441.747807848754
2417.268730969704,2443.3906336497785
2418.9237813162213,2445.0334289594603
2420.5713202038396,2446.676186367159
2422.216201360434,2448.3188750920517
2423.8666041257134,2449.961816037397
2425.5227062480294,2451.605016520303
2427.175173000708,2453.2483243482516
2428.8248782485343,2454.891670847847
2430.4793494830574,2456.5350254740915
2432.13620830106,2458.178380573932
2433.7869604835646,2459.8217361480574
2435.4335462492786,2461.4650463311245
2437.084210619103,2463.1082274191067
2438.7388583271686,2464.7515385219567
2440.390268738174,2466.3951782099784
2442.0385066683034,2468.0389099045606
2443.690531488003,2469.682672463629
2445.3466301720473,2471.326435396439
2446.9992021678718,2472.970206267192
2448.6475860661535,2474.613943092324
2450.299176934353,2476.257672581648
2451.9558716638257,2477.9014099194333
2453.610099614012,2479.545151337573
2455.258818953849,2481.1888930420123
2456.9089069924466,2482.8326387931934
2458.566496339495,2484.4763890824293
2460.2240594899463,2486.1201392659473
2461.8709459035094,2487.7638953673413
2463.5102432604417,2489.407671848282
2465.1530610969653,2491.051422270814
2466.8042424321793,2492.695183308797
2468.4569702883077,2494.33889697596
2470.10381430291,2495.9826172737244
2471.749352878313,2497.626333369683
2473.401260365283,2499.2700479499936
2475.055752675052,2500.913764813893
2476.7045282977783,2502.557487188654
2478.350651533064,2504.2012069140715
2480.0021945809403,2505.844929225058
2481.656780818235,2507.488653564653
2483.3064174117826,2509.132375632462
2484.9533351561704,2510.776093136197
2486.6051893513363,2512.4198132803076
2488.2603989396707,2514.0635320777683
2489.911032393031,2515.70725502563
2491.5585523700497,2517.3509801568825
2493.2105501897877,2518.9947074633887
2494.8661931907695,2520.6383895058566
2496.517648383925,2522.2818495630395
2498.1656063937417,2523.9254548247422
2499.8174652097346,2525.569567867015
2501.4733973466737,2527.2138065016106
2503.125832688061,2528.8575931496634
2504.7742765573735,2530.5014854440483
2506.425858433578,2532.1463640441757
2508.0823191246363,2533.7916542986345
2509.736291773843,2535.4366788760117
2511.3850588921073,2537.081673372341
2513.035474819425,2538.7274752612952
2514.6929968311288,2540.3738884580116
2516.350095811197,2542.020166141843
2517.9974707895362,2543.666237379435
2519.63903962075,2545.3129149131487
2521.284429227547,2546.9603872770444
2522.9355977299674,2548.607967507053
2524.5867348854936,2550.255421516147
2526.2351039452633,2551.903098049893
2527.8861009632465,2553.5512466616283
2529.54261760116,2555.1995095413527
2531.1981268765016,2556.8478198909856
2532.8469267736305,2558.496133696266
2534.4938578876377,2560.1444108524006
2536.1463275571687,2561.7927028069125
2537.800895226396,2563.441061052879
2539.448980447818,2565.0894436332724
2541.092634999021,2566.7378238776323
2542.7403514757834,2568.3862037328236
2544.392882212421,2570.034577551752
2546.0438669364953,2571.6829549606823
2547.6920678255865,2573.331336012099
2549.3440177984744,2574.979709364704
2551.0006316853915,2576.6280865486165
2552.6544245847576,2578.2764370911345
2554.3032641459877,2579.9247877809375
2555.9543315238193,2581.5731424707096
2557.6121032948154,2583.221493578958
2559.2687917189915,2584.8698487425936
2560.9168169289633,2586.518200337151
2562.561315463755,2588.166567518013
2564.2113148551875,2589.8149615552175
2565.864940219999,2591.4633327654587
2567.5143674735023,2593.1116885565334
2569.1616299046837,2594.7600215191005
2570.814433261859,2596.4083315383755
